date,discipline,hippodrome,numcourse,partants,distance,prono1,prono2,prono3,prono4,prono5,prono6,prono7,prono8,a1,rapport,si_a1_dans_pronos,race_id
2022-11-30,galop,Deauville,C1,16.0,2500.0,13.0,5.0,4.0,3.0,6.0,15.0,9.0,14.0,6.0,11.0,1.0,2022-11-30_Deauville_C1
2022-12-01,trot,Vincennes,C1,16.0,2100.0,3.0,8.0,4.0,15.0,2.0,10.0,1.0,6.0,2.0,10.0,1.0,2022-12-01_Vincennes_C1
2022-12-02,trot,Vincennes,C4,16.0,2100.0,3.0,9.0,5.0,12.0,14.0,2.0,1.0,8.0,10.0,7.5,0.0,2022-12-02_Vincennes_C4
2022-12-03,trot,Vincennes,C3,14.0,2850.0,9.0,11.0,5.0,13.0,4.0,7.0,12.0,8.0,9.0,2.2,1.0,2022-12-03_Vincennes_C3
2022-12-04,trot,Vincennes,C8,18.0,2850.0,3.0,6.0,2.0,5.0,10.0,12.0,13.0,15.0,3.0,2.2,1.0,2022-12-04_Vincennes_C8
2022-12-05,trot,Vincennes,C1,16.0,2100.0,5.0,4.0,9.0,1.0,3.0,2.0,6.0,12.0,12.0,10.0,1.0,2022-12-05_Vincennes_C1
2022-12-06,galop,Chantilly,C4,16.0,1600.0,12.0,3.0,11.0,1.0,4.0,14.0,10.0,5.0,11.0,12.6,1.0,2022-12-06_Chantilly_C4
2022-12-07,trot,Vincennes,C1,16.0,2100.0,6.0,4.0,1.0,3.0,2.0,5.0,7.0,12.0,6.0,4.1,1.0,2022-12-07_Vincennes_C1
2022-12-08,trot,Vincennes,C1,16.0,2100.0,4.0,13.0,6.0,16.0,7.0,2.0,5.0,10.0,4.0,1.8,1.0,2022-12-08_Vincennes_C1
2022-12-09,trot,Vincennes,C3,13.0,2850.0,7.0,11.0,8.0,6.0,9.0,1.0,3.0,10.0,11.0,4.7,1.0,2022-12-09_Vincennes_C3
2022-12-10,trot,Vincennes,C3,19.0,2700.0,13.0,14.0,12.0,9.0,10.0,3.0,4.0,5.0,3.0,34.4,1.0,2022-12-10_Vincennes_C3
2022-12-11,trot,Vincennes,C4,16.0,2850.0,15.0,16.0,2.0,12.0,5.0,13.0,10.0,6.0,12.0,9.2,1.0,2022-12-11_Vincennes_C4
2022-12-12,galop,Cagnes,C4,16.0,4200.0,1.0,6.0,15.0,9.0,4.0,3.0,14.0,7.0,11.0,14.0,0.0,2022-12-12_Cagnes_C4
2022-12-13,galop,Chantilly,C4,16.0,3200.0,2.0,4.0,9.0,3.0,8.0,1.0,5.0,6.0,11.0,29.8,0.0,2022-12-13_Chantilly_C4
2022-12-14,trot,Vincennes,C1,15.0,2850.0,8.0,6.0,15.0,14.0,12.0,3.0,11.0,9.0,8.0,5.7,1.0,2022-12-14_Vincennes_C1
2022-12-15,galop,Deauville,C1,16.0,1300.0,3.0,8.0,6.0,7.0,10.0,14.0,1.0,16.0,6.0,10.8,1.0,2022-12-15_Deauville_C1
2022-12-16,trot,Vincennes,C8,16.0,2850.0,16.0,8.0,1.0,6.0,13.0,4.0,14.0,7.0,10.0,29.0,0.0,2022-12-16_Vincennes_C8
2022-12-17,trot,Vincennes,C3,16.0,2100.0,11.0,5.0,12.0,6.0,15.0,7.0,2.0,8.0,12.0,6.9,1.0,2022-12-17_Vincennes_C3
2022-12-18,trot,Vincennes,C8,16.0,2850.0,6.0,11.0,5.0,3.0,7.0,16.0,8.0,12.0,7.0,10.5,1.0,2022-12-18_Vincennes_C8
2022-12-19,galop,Cagnes,C3,16.0,3500.0,4.0,1.0,11.0,9.0,3.0,2.0,16.0,13.0,1.0,7.7,1.0,2022-12-19_Cagnes_C3
2022-12-20,galop,Pau,C4,16.0,3500.0,3.0,4.0,5.0,12.0,16.0,14.0,9.0,2.0,7.0,13.0,0.0,2022-12-20_Pau_C4
2022-12-21,trot,Vincennes,C1,16.0,2850.0,15.0,14.0,6.0,2.0,13.0,7.0,8.0,12.0,13.0,8.8,1.0,2022-12-21_Vincennes_C1
2022-12-22,galop,Deauville,C1,16.0,1900.0,6.0,2.0,4.0,13.0,8.0,14.0,1.0,7.0,9.0,30.0,0.0,2022-12-22_Deauville_C1
2022-12-23,trot,Vincennes,C7,14.0,2100.0,2.0,8.0,6.0,13.0,4.0,1.0,3.0,14.0,8.0,3.6,1.0,2022-12-23_Vincennes_C7
2022-12-24,trot,Vincennes,C6,13.0,2700.0,11.0,4.0,7.0,5.0,6.0,13.0,12.0,9.0,5.0,8.7,1.0,2022-12-24_Vincennes_C6
2022-12-25,trot,Vincennes,C3,14.0,2700.0,6.0,9.0,2.0,3.0,1.0,8.0,12.0,7.0,4.0,3.8,0.0,2022-12-25_Vincennes_C3
2022-12-26,galop,Deauville,C1,16.0,1500.0,4.0,13.0,12.0,11.0,14.0,5.0,9.0,10.0,6.0,3.8,0.0,2022-12-26_Deauville_C1
2022-12-27,trot,Vincennes,C1,16.0,2100.0,2.0,13.0,12.0,11.0,10.0,16.0,7.0,8.0,10.0,10.0,1.0,2022-12-27_Vincennes_C1
2022-12-28,galop,Cagnes,C4,16.0,4000.0,5.0,3.0,16.0,8.0,4.0,12.0,7.0,2.0,7.0,10.0,1.0,2022-12-28_Cagnes_C4
2022-12-29,trot,Vincennes,C1,15.0,2700.0,8.0,10.0,7.0,12.0,1.0,14.0,15.0,2.0,8.0,4.0,1.0,2022-12-29_Vincennes_C1
2022-12-30,trot,Vincennes,C8,14.0,2700.0,14.0,13.0,4.0,9.0,7.0,3.0,12.0,11.0,14.0,3.6,1.0,2022-12-30_Vincennes_C8
2022-12-31,trot,Vincennes,C6,16.0,2700.0,12.0,13.0,5.0,11.0,6.0,7.0,3.0,15.0,10.0,10.0,0.0,2022-12-31_Vincennes_C6
2023-01-01,trot,Vincennes,C4,18.0,2100.0,4.0,15.0,7.0,5.0,3.0,11.0,8.0,6.0,5.0,14.0,1.0,2023-01-01_Vincennes_C4
2023-01-02,trot,Vincennes,C4,16.0,3800.0,3.0,10.0,6.0,4.0,7.0,14.0,13.0,15.0,6.0,7.2,1.0,2023-01-02_Vincennes_C4
2023-01-03,trot,Vincennes,C1,16.0,2700.0,4.0,15.0,2.0,13.0,6.0,5.0,11.0,8.0,2.0,5.9,1.0,2023-01-03_Vincennes_C1
2023-01-04,trot,Vincennes,C1,15.0,2100.0,5.0,3.0,2.0,4.0,7.0,10.0,8.0,1.0,11.0,40.0,0.0,2023-01-04_Vincennes_C1
2023-01-05,trot,Vincennes,C1,13.0,2100.0,5.0,6.0,1.0,8.0,4.0,2.0,9.0,12.0,6.0,3.5,1.0,2023-01-05_Vincennes_C1
2023-01-06,galop,Deauville,C8,16.0,1300.0,5.0,6.0,7.0,15.0,1.0,9.0,12.0,8.0,6.0,6.4,1.0,2023-01-06_Deauville_C8
2023-01-07,trot,Vincennes,C4,16.0,2850.0,9.0,8.0,13.0,6.0,15.0,16.0,7.0,10.0,9.0,4.5,1.0,2023-01-07_Vincennes_C4
